,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Stable ID,Threat (paraphrased),Threat (verbatim),Pro-dem Mitigation (paraphrased),Pro-dem Mitigation (verbatim),Pro-dem Opportunity (paraphrased),Pro-dem Opportunity (verbatim),Source,Note,Democracy Aspect  1,Democracy Aspect  2,Democracy Aspect  3,Democracy Aspect  4,Democracy Aspect  5,Democracy Aspect  6,More than 4 Democracy Codes ,,,,
148,///,///,///,///,International cooperation on developing a shared scientific evidence base for AI governance and regulation,"""A diverse group of over 100 AI experts guided its development, including an international Expert Advisory Panel with nominees from over 30 countries and international organisations, including the OECD, the European Union, and the United Nations""","Bengio, Y. (Chair) et al. (2026). International AI Safety Report 2026. Department for Science, Innovation and Technology (DSIT), UK Government. February 2026. Available at: International AI Safety Report 2026 | International AI Safety Report. https://internationalaisafetyreport.org/sites/default/files/2026-02/international-ai-safety-report-2026_1.pdf","checked

FLAG (2026-05-19): double-check page citation — SID 146 was found at pp. 96–97 in the original report (cited as p.98). Bengio entries should be re-verified against the original PDF before publication.",4.1 PRIMARY External Influences on the Country's Democracy — Multilateral AI safety governance creates shared norms that can resist AI-enabled autocratic influence and foreign interference. P4Dem inference,4.2 SECONDARY The Country's Democratic Impact Abroad — International AI safety collaboration supports democratic governance standards in countries that lack independent AI oversight capacity. P4Dem inference,,,,,no,,,,
149, AI-generated deepfakes threaten to flood social media so pervasively that voters cannot distinguish truth from fiction when making electoral decisions ,"""generative AI…could produce deepfakes that would so inundate users of social media that they would be unable to separate truth from fiction when making voting decisions"""," Mandatory disclosure and labelling of deepfakes and AI-manipulated media in political communications, with clear disclaimers ","""Congress and the states should require disclosure of deepfakes and other manipulated media in political communications…Laws should also mandate clear, easy-to-understand disclaimers""", /// , /// ,"Panditharatne, M., Norden, L., Zdanys, J., Weiner, D.I. and Abusaif, Y. (2025). An Agenda to Strengthen U.S. Democracy in the Age of AI. Brennan Center for Justice, February 13, 2025. Available at: https://www.brennancenter.org/our-work/policy-solutions/agenda-strengthen-us-democracy-age-ai",checked, 2.1 PRIMARY Free and Fair Elections, 3.2 SECONDARY Opinion Formation and Political Participation,, ,,,no,,,,
150, AI-generated deepfakes threaten to flood social media so pervasively that voters cannot distinguish truth from fiction when making electoral decisions ,"""generative AI…could produce deepfakes that would so inundate users of social media that they would be unable to separate truth from fiction when making voting decisions"""," Require AI developers, platforms, and search engines to publish transparency information on AI-generated election content, including deepfake volumes, watermarking policies and election content policies","""Lawmakers should require AI developers, social media platforms, and search engines to publish information on AI-generated election content and AI-assisted design features. Requirements should include information concerning the volume of political deepfakes present on or produced by platforms and tools, implementation of watermarks and content provenance standards, and policies pertaining to responsible dissemination of AI-generated election content.""", /// , /// ,"Panditharatne, M., Norden, L., Zdanys, J., Weiner, D.I. and Abusaif, Y. (2025). An Agenda to Strengthen U.S. Democracy in the Age of AI. Brennan Center for Justice, February 13, 2025. Available at: https://www.brennancenter.org/our-work/policy-solutions/agenda-strengthen-us-democracy-age-ai",checked, 2.1 PRIMARY Free and Fair Elections, 3.2 SECONDARY Opinion Formation and Political Participation,, ,,,no,,,,
151,AI-generated deepfakes could flood social media at such scale that voters lose the ability to distinguish true from false information when making electoral decisions.,"""generative AI…could produce deepfakes that would so inundate users of social media that they would be unable to separate truth from fiction when making voting decisions""", Require transparency on generative AI training data sources to counter the use of personalised false election information ,"""lawmakers should require generative AI developers to publicly disclose the sources of their original training data sets and of any training data sets under their control used to customize AI systems""", /// , /// ,"Panditharatne, M., Norden, L., Zdanys, J., Weiner, D.I. and Abusaif, Y. (2025). An Agenda to Strengthen U.S. Democracy in the Age of AI. Brennan Center for Justice, February 13, 2025. Available at: https://www.brennancenter.org/our-work/policy-solutions/agenda-strengthen-us-democracy-age-ai",checked, 2.1 PRIMARY Free and Fair Elections,, 3.2 SECONDARY Opinion Formation and Political Participation, ,,,no,,,,
152, Campaigns used deepfake technology to convincingly imitate politicians and produce misleading political advertisements ,"""Campaigns leveraged deepfake technology to convincingly imitate politicians and produce misleading advertisements"""," Mandatory disclosure and labelling of deepfakes and AI-manipulated media in political communications, with clear disclaimers ","""Congress and the states should require disclosure of deepfakes and other manipulated media in political communications…Laws should also mandate clear, easy-to-understand disclaimers""", /// , /// ,"Panditharatne, M., Norden, L., Zdanys, J., Weiner, D.I. and Abusaif, Y. (2025). An Agenda to Strengthen U.S. Democracy in the Age of AI. Brennan Center for Justice, February 13, 2025. Available at: https://www.brennancenter.org/our-work/policy-solutions/agenda-strengthen-us-democracy-age-ai",checked, 2.1 PRIMARY Free and Fair Elections, 2.2 SECONDARY The Democratic Role of Political Parties, 3.2 SECONDARY Opinion Formation and Political Participation, ,,,no,,,,
153, Campaigns used deepfake technology to convincingly imitate politicians and produce misleading political advertisements ,"""Campaigns leveraged deepfake technology to convincingly imitate politicians and produce misleading advertisements""", Targeted prohibitions on especially harmful and deceptive election-related AI content ,"""Congress and state legislatures should consider targeted prohibitions for especially harmful and deceptive election-related content""", /// , /// ,"Panditharatne, M., Norden, L., Zdanys, J., Weiner, D.I. and Abusaif, Y. (2025). An Agenda to Strengthen U.S. Democracy in the Age of AI. Brennan Center for Justice, February 13, 2025. Available at: https://www.brennancenter.org/our-work/policy-solutions/agenda-strengthen-us-democracy-age-ai",checked, 2.1 PRIMARY Free and Fair Elections, 2.2 SECONDARY The Democratic Role of Political Parties, 3.2 SECONDARY Opinion Formation and Political Participation, ,,,no,,,,
154," Foreign adversaries used AI to augment election interference, creating networks of copycat news sites filled with AI-generated fake stories ","""Foreign adversaries used the technology to augment their election interference by creating copycat news sites filled with what appeared to be AI-generated fake stories"""," Require AI developers, platforms, and search engines to publish transparency information on AI-generated election content, including deepfake volumes and watermarking policies ","""Lawmakers should require AI developers, social media platforms, and search engines to publish information on AI-generated election content and AI-assisted design features""", /// , /// ,"Panditharatne, M., Norden, L., Zdanys, J., Weiner, D.I. and Abusaif, Y. (2025). An Agenda to Strengthen U.S. Democracy in the Age of AI. Brennan Center for Justice, February 13, 2025. Available at: https://www.brennancenter.org/our-work/policy-solutions/agenda-strengthen-us-democracy-age-ai",checked, 4.1 PRIMARY External Influences on the Country's Democracy, 2.1 SECONDARY Free and Fair Elections, 3.1 SECONDARY Independent and Fact-Based Journalistic Media, ,,,no,,,,
155, Activists deployed AI systems to support voter suppression efforts ,"""Activists deployed AI systems to support voter suppression efforts""", Strengthen deceptive practices laws to expressly cover AI systems and limit risks from developers who might deliberately design tools to disenfranchise voters ,"""Lawmakers should amend laws…so that they expressly cover AI systems and better limit risks from AI developers who might deliberately design AI tools to disenfranchise voters""", /// , /// ,"Panditharatne, M., Norden, L., Zdanys, J., Weiner, D.I. and Abusaif, Y. (2025). An Agenda to Strengthen U.S. Democracy in the Age of AI. Brennan Center for Justice, February 13, 2025. Available at: https://www.brennancenter.org/our-work/policy-solutions/agenda-strengthen-us-democracy-age-ai",checked, 2.1 PRIMARY Free and Fair Elections, 1.1 SECONDARY Nationhood and Citizenship, , ,,,no,,,,
156, Activists deployed AI systems to support voter suppression efforts ,"""Activists deployed AI systems to support voter suppression efforts""", Prohibit the knowing and intentional dissemination of vote-suppressing deepfakes within 60 days before elections ,"""Federal and state legislators should also pass laws prohibiting the knowing and intentional dissemination of deepfakes with strong potential to suppress votes within 60 days before elections""", /// , /// ,"Panditharatne, M., Norden, L., Zdanys, J., Weiner, D.I. and Abusaif, Y. (2025). An Agenda to Strengthen U.S. Democracy in the Age of AI. Brennan Center for Justice, February 13, 2025. Available at: https://www.brennancenter.org/our-work/policy-solutions/agenda-strengthen-us-democracy-age-ai",checked, 2.1 PRIMARY Free and Fair Elections, 1.1 SECONDARY Nationhood and Citizenship, , ,,,no,,,,
157, Activists deployed AI systems to support voter suppression efforts ,"""Activists deployed AI systems to support voter suppression efforts""", Congress should close the loophole permitting political robocalls to landlines without consent ,"""Congress should close the loophole in robocall regulations that allows political robocalls to be made to landlines under certain conditions without prior consent""", /// , /// ,"Panditharatne, M., Norden, L., Zdanys, J., Weiner, D.I. and Abusaif, Y. (2025). An Agenda to Strengthen U.S. Democracy in the Age of AI. Brennan Center for Justice, February 13, 2025. Available at: https://www.brennancenter.org/our-work/policy-solutions/agenda-strengthen-us-democracy-age-ai",checked, 2.1 PRIMARY Free and Fair Elections, 1.1 SECONDARY Nationhood and Citizenship, 3.2 SECONDARY Opinion Formation and Political Participation, ,,,no,,,,
158, Activists deployed AI systems to support voter suppression efforts ,"""Activists deployed AI systems to support voter suppression efforts""", The FCC should complete the process to tighten rules on AI-powered robocalls to mobile devices ,"""The FCC should also complete the process it began in August 2024 to augment prior express consent rules around generative AI–powered robocalls and clarify that the strengthened requirements would apply to political robocalls made to mobile devices""", /// , /// ,"Panditharatne, M., Norden, L., Zdanys, J., Weiner, D.I. and Abusaif, Y. (2025). An Agenda to Strengthen U.S. Democracy in the Age of AI. Brennan Center for Justice, February 13, 2025. Available at: https://www.brennancenter.org/our-work/policy-solutions/agenda-strengthen-us-democracy-age-ai",checked, 2.1 PRIMARY Free and Fair Elections, 1.1 SECONDARY Nationhood and Citizenship, 3.2 SECONDARY Opinion Formation and Political Participation, ,,,no,,,,
159,"AI tools were used by campaigns and supporters to build political bot networks and produce campaign content, raising concerns about transparency and the authenticity of political communication.","""Candidates and supporters used AI tools to build political bot networks, translate materials, design eye-catching memes, and assist in voter outreach"""," Require labelling of LLM-powered chatbots and social media bots deployed by candidates, parties, or political groups ","""Congress and state legislatures should require labeling for a subset of content produced by large language models…such chatbots and social media bots should carry labels informing viewers or listeners of their artificial nature""", /// , /// ,"Panditharatne, M., Norden, L., Zdanys, J., Weiner, D.I. and Abusaif, Y. (2025). An Agenda to Strengthen U.S. Democracy in the Age of AI. Brennan Center for Justice, February 13, 2025. Available at: https://www.brennancenter.org/our-work/policy-solutions/agenda-strengthen-us-democracy-age-ai",checked, 3.2 PRIMARY Opinion Formation and Political Participation, 2.2 SECONDARY The Democratic Role of Political Parties, 2.1 SECONDARY Free and Fair Elections, ,,,no,,,,
160, AI can be used to manipulate or intimidate voters and election officials by exploiting personal data collected by generative AI models ,"""mitigate malefactors' ability to use AI tools to manipulate or intimidate voters or election officials with such data"""," New data privacy protections limiting generative AI models' collection and use of personal data, with opt-in requirements and restrictions on third-party data sales ","""Congress and the states should pass new data privacy protections…limiting personal data collection to use for authorized purposes and giving users the power to opt in to collection of personal data""", /// , /// ,"Panditharatne, M., Norden, L., Zdanys, J., Weiner, D.I. and Abusaif, Y. (2025). An Agenda to Strengthen U.S. Democracy in the Age of AI. Brennan Center for Justice, February 13, 2025. Available at: https://www.brennancenter.org/our-work/policy-solutions/agenda-strengthen-us-democracy-age-ai",checked, 1.3 PRIMARY Civil and Political Rights, 2.1 SECONDARY Free and Fair Elections,, ,,,no,,,,
161," AI is used to flood public regulatory comment processes with fake, bot-generated, or misattributed submissions, drowning out genuine citizen input ","""all of which will become easier with the assistance of generative AI"" [re: falsely impersonating others, bot transmissions, and incorrect attribution in public comment processes]"," Authorise agencies to disregard misattributed, bot-generated, or falsely impersonated comments on proposed regulations ","""Lawmakers should update these statutes to allow agencies to disregard comments that falsely impersonate others, are transmitted via bots, or are otherwise incorrectly attributed""", /// , /// ,"Panditharatne, M., Norden, L., Zdanys, J., Weiner, D.I. and Abusaif, Y. (2025). An Agenda to Strengthen U.S. Democracy in the Age of AI. Brennan Center for Justice, February 13, 2025. Available at: https://www.brennancenter.org/our-work/policy-solutions/agenda-strengthen-us-democracy-age-ai",checked, 2.8 PRIMARY Illegitimate Influence over Policy-Making, 2.4 SECONDARY The Democratic Effectiveness of the Legislature, 3.2 SECONDARY Opinion Formation and Political Participation, ,,,no,,,,
162," AI is used to flood public regulatory comment processes with fake, bot-generated, or misattributed submissions, drowning out genuine citizen input ","""Lawmakers should update these statutes to allow agencies to disregard comments that 
falsely impersonate others, are transmitted via bots, or 
are otherwise incorrectly attributed — all of which will 
become easier with the assistance of generative AI — and to safeguard consideration of authentic submissions.""","Expand manipulation-resistant channels for public input such as address-based surveys, in-person events, and town halls ","""Federal and state governing bodies should also expand opportunities for real constituents to offer policy input, including by providing ample avenues for public comment that are less vulnerable to technological manipulation…as well as in-person events and town halls""", /// , /// ,"Panditharatne, M., Norden, L., Zdanys, J., Weiner, D.I. and Abusaif, Y. (2025). An Agenda to Strengthen U.S. Democracy in the Age of AI. Brennan Center for Justice, February 13, 2025. Available at: https://www.brennancenter.org/our-work/policy-solutions/agenda-strengthen-us-democracy-age-ai",checked, 2.8 PRIMARY Illegitimate Influence over Policy-Making, 2.4 SECONDARY The Democratic Effectiveness of the Legislature, 3.2 SECONDARY Opinion Formation and Political Participation, ,,,no,,,,
163,"AI use in analysing constituent feedback on proposed regulations and essential government services risks civil rights harms through inaccuracy, harmful bias, and lack of transparency","""the use of AI to analyze comments on proposed federal regulations — and for other highly consequential processes like soliciting input on essential government services — is a use that directly affects people's civil rights"""," Establish guardrails for AI use in soliciting and responding to constituent feedback; mandate minimum accuracy thresholds, anti-bias safeguards, and transparency guarantees ","""Federal lawmakers should clarify that the use of AI to analyze comments on proposed federal regulations…is a use that directly affects people's civil rights, warranting compulsory protections, including minimum thresholds for accuracy, safeguards against harmful bias, and transparency guarantees""", /// , /// ,"Panditharatne, M., Norden, L., Zdanys, J., Weiner, D.I. and Abusaif, Y. (2025). An Agenda to Strengthen U.S. Democracy in the Age of AI. Brennan Center for Justice, February 13, 2025. Available at: https://www.brennancenter.org/our-work/policy-solutions/agenda-strengthen-us-democracy-age-ai",checked, 1.2 PRIMARY Rule of Law and Access to Justice, 2.3 SECONDARY Effective and Accountable Government, 1.1 SECONDARY Nationhood and Citizenship, 3.2 SECONDARY Opinion Formation and Political Participation,,,no,,,,
164," AI heightens the risk of cyberattacks on election infrastructure, placing already under-resourced election administration under further strain ","""As new AI developments elevate the risk of cyberattacks on election infrastructure, election officials need additional resources and support to implement safeguards"""," Boost funding for election office cybersecurity, including statewide cyber navigator programmes, equipment replacement, and training ","""Congress and the states should boost funding to increase defenses against cyber threats amplified by AI systems…including the creation of statewide cyber navigator programs to assist local jurisdictions with cybersecurity needs""", /// , /// ,"Panditharatne, M., Norden, L., Zdanys, J., Weiner, D.I. and Abusaif, Y. (2025). An Agenda to Strengthen U.S. Democracy in the Age of AI. Brennan Center for Justice, February 13, 2025. Available at: https://www.brennancenter.org/our-work/policy-solutions/agenda-strengthen-us-democracy-age-ai",checked, 2.1 PRIMARY Free and Fair Elections, 2.3 SECONDARY Effective and Accountable Government, , ,,,no,,,,
165," AI heightens the risk of cyberattacks on election infrastructure, placing already under-resourced election administration under further strain ","""As new AI developments elevate the risk of cyberattacks on election infrastructure, election officials need additional resources and support to implement safeguards""",State investments in digital authentication markers for election offfices to be embedded in their official content ,"""Relevant federal and state agencies should invest in tools that will allow election offices to embed digital authentication markers in official content""", /// , /// ,"Panditharatne, M., Norden, L., Zdanys, J., Weiner, D.I. and Abusaif, Y. (2025). An Agenda to Strengthen U.S. Democracy in the Age of AI. Brennan Center for Justice, February 13, 2025. Available at: https://www.brennancenter.org/our-work/policy-solutions/agenda-strengthen-us-democracy-age-ai",checked, 2.1 PRIMARY Free and Fair Elections, 2.3 SECONDARY Effective and Accountable Government, , ,,,no,,,,
166,///,///,///,///,Funding election offices to run voter education campaigns about AI risks and changes builds public resilience and prepares citizens for AI's evolving role in democratic processes.,"""Congress and the states should fund election offices to educate voters about AI""; ""State and local election officials, along with other government offices, will need to launch voter education campaigns to prepare the public for AI-related changes and challenges in the coming years.""","Panditharatne, M., Norden, L., Zdanys, J., Weiner, D.I. and Abusaif, Y. (2025). An Agenda to Strengthen U.S. Democracy in the Age of AI. Brennan Center for Justice, February 13, 2025. Available at: https://www.brennancenter.org/our-work/policy-solutions/agenda-strengthen-us-democracy-age-ai",checked, 3.2 PRIMARY Opinion Formation and Political Participation, 2.1 SECONDARY Free and Fair Elections,,,,,no,,,,
167, Election system vendors are logical targets for AI-enhanced security attacks yet currently lack mandated security standards ,"""Just as election offices are likely to be targets of AI-enhanced security threats, election system vendors are also logical targets""", Require independent federal oversight and mandate security best practices for election system vendors as critical infrastructure ,"""Congress should require independent federal oversight of election vendor security practices…The federal government should mandate election security best practices for vendors in the elections space""", /// , /// ,"Panditharatne, M., Norden, L., Zdanys, J., Weiner, D.I. and Abusaif, Y. (2025). An Agenda to Strengthen U.S. Democracy in the Age of AI. Brennan Center for Justice, February 13, 2025. Available at: https://www.brennancenter.org/our-work/policy-solutions/agenda-strengthen-us-democracy-age-ai",checked, 2.1 PRIMARY Free and Fair Elections, 2.3 SECONDARY Effective and Accountable Government, , ,,,no,,,,
168, AI use in rights-affecting election administration tasks — maintaining voter rolls and verifying mail ballot signatures — risks introducing algorithmic bias that disenfranchises voters ,"""election officials use AI-powered tools to assist in maintaining voter registration databases and to verify mail ballot signatures, both rights-affecting use cases that necessitate specific additional safeguards such as algorithmic bias testing and error rate monitoring"""," Regulate sensitive rights-affecting AI uses in election administration; require algorithmic bias testing, error rate monitoring, and human review of high-risk decisions ","""These guardrails must include human involvement in reviewing AI-assisted decisions — particularly for cases flagged as high-risk — as well as regular audits and evaluations of AI systems""", /// , /// ,"Panditharatne, M., Norden, L., Zdanys, J., Weiner, D.I. and Abusaif, Y. (2025). An Agenda to Strengthen U.S. Democracy in the Age of AI. Brennan Center for Justice, February 13, 2025. Available at: https://www.brennancenter.org/our-work/policy-solutions/agenda-strengthen-us-democracy-age-ai",checked, 2.1 PRIMARY Free and Fair Elections, 1.1 SECONDARY Nationhood and Citizenship, 1.2 SECONDARY Rule of Law and Access to Justice, ,,,no,,,,
169, AI use in rights-affecting election administration tasks — maintaining voter rolls and verifying mail ballot signatures — risks introducing algorithmic bias that disenfranchises voters ,"""election officials use AI-powered tools to assist in maintaining voter registration databases and to verify mail ballot signatures, both rights-affecting use cases that necessitate specific additional safeguards such as algorithmic bias testing and error rate monitoring"""," Develop federal and state guidance and baseline standards for when and how election officials may use AI, with an incident reporting system for AI-related harms ","""Relevant federal and state agencies should develop guidance and baseline standards for election officials on how and when to use AI, and they should oversee the creation of an incident reporting system""", /// , /// ,"Panditharatne, M., Norden, L., Zdanys, J., Weiner, D.I. and Abusaif, Y. (2025). An Agenda to Strengthen U.S. Democracy in the Age of AI. Brennan Center for Justice, February 13, 2025. Available at: https://www.brennancenter.org/our-work/policy-solutions/agenda-strengthen-us-democracy-age-ai",checked, 2.1 PRIMARY Free and Fair Elections, 1.1 SECONDARY Nationhood and Citizenship, 1.2 SECONDARY Rule of Law and Access to Justice, 2.3 SECONDARY Effective and Accountable Government,,,no,,,,
170, AI developers and tech companies face insufficient legal accountability for harms their products cause to voters and democratic processes ,"""Those who profit from AI must meet transparency requirements and be held accountable when these tools are used to undermine democratic processes""", Clarify that Section 230 liability immunities do not apply to generative AI developers and deployers ,"""Congress should explore clarifying that Section 230 liability immunities…do not apply to generative AI developers and deployers""", /// , /// ,"Panditharatne, M., Norden, L., Zdanys, J., Weiner, D.I. and Abusaif, Y. (2025). An Agenda to Strengthen U.S. Democracy in the Age of AI. Brennan Center for Justice, February 13, 2025. Available at: https://www.brennancenter.org/our-work/policy-solutions/agenda-strengthen-us-democracy-age-ai",checked, 1.2 PRIMARY Rule of Law and Access to Justice, 2.3 SECONDARY Effective and Accountable Government, 2.1 SECONDARY Free and Fair Elections, ,,,no,,,,
171, AI developers and tech companies face insufficient legal accountability for harms their products cause to voters and democratic processes ,"""Those who profit from AI must meet transparency requirements and be held accountable when these tools are used to undermine democratic processes""", Pass laws requiring AI developers to exercise reasonable care to prevent foreseeable harms to voters and the election process ,"""Federal and state lawmakers should also pass laws that make it easier to sue AI developers by requiring them to exercise reasonable care to prevent certain foreseeable harms to voters and the election process""", /// , /// ,"Panditharatne, M., Norden, L., Zdanys, J., Weiner, D.I. and Abusaif, Y. (2025). An Agenda to Strengthen U.S. Democracy in the Age of AI. Brennan Center for Justice, February 13, 2025. Available at: https://www.brennancenter.org/our-work/policy-solutions/agenda-strengthen-us-democracy-age-ai",checked, 1.2 PRIMARY Rule of Law and Access to Justice, 2.3 SECONDARY Effective and Accountable Government, 2.1 SECONDARY Free and Fair Elections, ,,,no,,,,
172, /// , /// , /// , /// ,"AI has the potential to transform how government interacts with, represents, and interprets the will of its citizens.","""AI promises to transform how government interacts with and represents its citizens, and how government understands and interprets the will of its people""","Panditharatne, M., Norden, L., Zdanys, J., Weiner, D.I. and Abusaif, Y. (2025). An Agenda to Strengthen U.S. Democracy in the Age of AI. Brennan Center for Justice, February 13, 2025. Available at: https://www.brennancenter.org/our-work/policy-solutions/agenda-strengthen-us-democracy-age-ai",checked, 2.3 PRIMARY Effective and Accountable Government, 3.2 SECONDARY Opinion Formation and Political Participation, , ,,,no,,,,
173, /// , /// , /// , /// ," AI tools can support voter outreach and fundraising in ways that level the playing field for campaigns that cannot afford expensive consultants, potentially democratising political competition ","""AI could revolutionize voter outreach and fundraising, thereby leveling the playing field for campaigns that otherwise could not afford expensive political consultants and staff""","Panditharatne, M., Norden, L., Zdanys, J., Weiner, D.I. and Abusaif, Y. (2025). An Agenda to Strengthen U.S. Democracy in the Age of AI. Brennan Center for Justice, February 13, 2025. Available at: https://www.brennancenter.org/our-work/policy-solutions/agenda-strengthen-us-democracy-age-ai",checked, 2.2 PRIMARY The Democratic Role of Political Parties,, , ,,,no,,,,
174, /// , /// , /// , /// ,"Governments at all levels should establish AI advisory councils invest in training government staff to use AI appropriately, secure funding for safe AI use across government departments, and hire technical AI talent (computer scientists, cybersecurity professionals, AI risk management experts) to ensure safe, responsible integration of AI into public operations.","""State and local governments should establish advisory councils to obtain a baseline understanding of AI risks and opportunities to better serve the public""","Panditharatne, M., Norden, L., Zdanys, J., Weiner, D.I. and Abusaif, Y. (2025). An Agenda to Strengthen U.S. Democracy in the Age of AI. Brennan Center for Justice, February 13, 2025. Available at: https://www.brennancenter.org/our-work/policy-solutions/agenda-strengthen-us-democracy-age-ai",checked,2.3 PRIMARY Effective and Accountable Government,2.6 SECONDARY National-subnational power relations — State and local governments building independent AI governance capacity via advisory councils preserves subnational autonomy in AI oversight. P4Dem inference.,,,,,no,,,,
175,AI use in rights-affecting election administration tasks — maintaining voter rolls and verifying mail ballot signatures — risks introducing algorithmic bias that disenfranchises voters,"""election officials use AI-powered tools to assist in maintaining voter registration databases and to verify mail ballot signatures, both rights-affecting use cases that necessitate specific additional safeguards such as algorithmic bias testing and error rate monitoring""","Require mandatory audits of vulnerable and high-risk AI election systems, including those used for voter identification, voter roll maintenance, and voter information provision","""Federal and state lawmakers should also require audits, especially for vulnerable and high-risk election systems that utilize AI. Such systems include those used to identify potentially ineligible voters or others who might be removed from voter rolls; those used to verify voters' identities; and those used to provide election information to voters on how to vote, where polling places are located and hours of operation, and what forms of ID might be required.""",///,///,"Panditharatne, M., Norden, L., Zdanys, J., Weiner, D.I. and Abusaif, Y. (2025). An Agenda to Strengthen U.S. Democracy in the Age of AI. Brennan Center for Justice, February 13, 2025. Available at: https://www.brennancenter.org/our-work/policy-solutions/agenda-strengthen-us-democracy-age-ai",checked,2.1 PRIMARY Free and Fair Elections,1.1 SECONDARY Nationhood and Citizenship,1.2 SECONDARY Rule of Law and Access to Justice,2.3 SECONDARY Effective and Accountable Governmen,,,no,,,,
176,"When many actors rely on a small number of similarly tuned AI models, the diversity of publicly available framings, problem definitions, and argumentative strategies narrows — shifting public agreement from shared evidence toward shared model priors, in ways that are private and therefore harder to detect and correct than ordinary media bias","""When many actors rely on a small number of similarly tuned models, the diversity of framings, problem definitions, and argumentative strategies in public discourse can narrow, shifting agreement from shared evidence toward shared model priors. Because AI can mediate a broader range of everyday contexts than traditional media, and because AI interactions are private rather than publicly contestable, this discursive compression is harder to detect and correct""","Train models to actively support epistemic health — going beyond harm avoidance to instil pro-social epistemic behaviours such as flagging uncertainty, valuing productive disagreement, and resisting sycophancy","""develop alignment methods that go beyond harm avoidance to instil pro-social epistemic behaviour""",///,///,"Guzman Piedrahita, D., Banerjee, D., Blin, K., et al. (2026). AI Poses Risks to Democratic and Social Systems. https://zhijing-jin.com/d/2026-ai-risk.pdf",checked,3.2 PRIMARY Opinion Formation and Political Participation,3.1 SECONDARY Independent and Fact-Based Journalistic Media,,,,,no,,,,
177,"When many actors rely on a small number of similarly tuned AI models, the diversity of publicly available framings, problem definitions, and argumentative strategies narrows — shifting public agreement from shared evidence toward shared model priors, in ways that are private and therefore harder to detect and correct than ordinary media bias","""When many actors rely on a small number of similarly tuned models, the diversity of framings, problem definitions, and argumentative strategies in public discourse can narrow, shifting agreement from shared evidence toward shared model priors. Because AI can mediate a broader range of everyday contexts than traditional media, and because AI interactions are private rather than publicly contestable, this discursive compression is harder to detect and correct""",Require interoperability and multi-provider strategies in public AI procurement so that no single model family standardises how arguments are framed across public institutions,"""Public procurement frameworks should require transparency regarding model capabilities, safety constraints, and update policies; mandate interoperability standards and data portability so that institutions are not locked into a single provider; and support multi-provider deployment strategies that enable hot-swapping without re-engineering workflows.""",///,///,"Guzman Piedrahita, D., Banerjee, D., Blin, K., et al. (2026). AI Poses Risks to Democratic and Social Systems. https://zhijing-jin.com/d/2026-ai-risk.pdf",checked,3.2 PRIMARY Opinion Formation and Political Participation,2.3 SECONDARY Effective and Accountable Government,2.8 SECONDARY Illegitimate Influence over Policy-Making,,,,no,,,,
178,"The growing prevalence of AI-generated 'slop' in online discussion spaces makes users less confident they are conversing with genuine humans, undermining productive disagreement and eroding the civic value of online public discourse.","""The growing prevalence of inauthentic 'AI slop' threatens the vitality of online spaces that have previously functioned as useful arenas for public discourse. As discussion forums become increasingly plagued with AI-generated content, people will become less confident that they are conversing with genuine humans, and thus will be less able to engage with other beliefs and participate in productive disagreement with others.""",///,///,///,///,"Guzman Piedrahita, D., Banerjee, D., Blin, K., et al. (2026). AI Poses Risks to Democratic and Social Systems. https://zhijing-jin.com/d/2026-ai-risk.pdf",checked,3.2 PRIMARY Opinion Formation and Political Participation,,,,,,no,,,,
179,"When users co-write with AI models, the model's embedded priors can reshape users' own beliefs, not merely their prose — shifting public agreement toward shared model priors in ways that are harder to detect than ordinary media influence.","""Experimentally, Jakesch et al. (2023) demonstrated that co-writing with an opinionated language model shifted users' own stated views toward the model's position, suggesting that these biases do not merely color the text users produce but can reshape what they believe.""","Train models to actively support epistemic health — going beyond harm avoidance to instil pro-social epistemic behaviours such as flagging uncertainty, valuing productive disagreement, and resisting sycophancy","""develop alignment methods that go beyond harm avoidance to instil pro-social epistemic behaviour""",///,///,"Guzman Piedrahita, D., Banerjee, D., Blin, K., et al. (2026). AI Poses Risks to Democratic and Social Systems. https://zhijing-jin.com/d/2026-ai-risk.pdf",checked,3.2 PRIMARY Opinion Formation and Political Participation,1.3 SECONDARY Civil and Political Rights,,,,,no,,,,
180,"AI assistants combine interactive personalisation, long-term memory, and optimisation for user satisfaction in ways that create private reinforcement loops, making users' beliefs progressively harder to revise and undermining the revisability of positions that democratic governance depends on",Solution: R2 (train models for epistemic health) applies and is already captured in row 176.,"Train models to actively support epistemic health — going beyond harm avoidance to instil pro-social epistemic behaviours such as flagging uncertainty, valuing productive disagreement, and resisting sycophancy","""develop alignment methods that go beyond harm avoidance to instil pro-social epistemic behaviour""",///,///,"Guzman Piedrahita, D., Banerjee, D., Blin, K., et al. (2026). AI Poses Risks to Democratic and Social Systems. https://zhijing-jin.com/d/2026-ai-risk.pdf",checked,3.2 PRIMARY Opinion Formation and Political Participation,1.3 SECONDARY Civil and Political Rights,,,,,no,,,,
